rank,service,city,state,score,lead_value,estimated_monthly_value,rationale
1,Septic Repair,Oklahoma City,OK,71.0,150,2100,"Septic Repair in Oklahoma City has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
2,Tree Removal,Oklahoma City,OK,69.1,125,1750,"Tree Removal in Oklahoma City has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
3,Foundation Repair,Oklahoma City,OK,68.6,175,2450,"Foundation Repair in Oklahoma City has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
4,Septic Repair,Edmond,OK,67.1,150,1950,"Septic Repair in Edmond has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
5,Garage Door Repair,Oklahoma City,OK,66.3,75,975,"Garage Door Repair in Oklahoma City has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
6,Water Heater Repair,Oklahoma City,OK,66.1,90,1170,"Water Heater Repair in Oklahoma City has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
7,Septic Repair,Norman,OK,65.8,150,1950,"Septic Repair in Norman has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
8,Septic Repair,Moore,OK,65.3,150,1950,"Septic Repair in Moore has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
9,Tree Removal,Edmond,OK,65.2,125,1625,"Tree Removal in Edmond has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
10,Foundation Repair,Edmond,OK,64.7,175,2275,"Foundation Repair in Edmond has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
11,Tree Removal,Norman,OK,63.9,125,1625,"Tree Removal in Norman has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
12,Septic Repair,Yukon,OK,63.6,150,1950,"Septic Repair in Yukon has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
13,Foundation Repair,Norman,OK,63.4,175,2275,"Foundation Repair in Norman has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
14,Tree Removal,Moore,OK,63.4,125,1625,"Tree Removal in Moore has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
15,Foundation Repair,Moore,OK,62.9,175,2275,"Foundation Repair in Moore has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
16,Septic Repair,Mustang,OK,62.5,150,1800,"Septic Repair in Mustang has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
17,Septic Repair,Chickasha,OK,62.4,150,1800,"Septic Repair in Chickasha has urgent intent, contractor buyer demand, and enough ticket size to support paid lead/rental monetization."
